timestamp,park,ride,wait_time,is_open
2026-03-18 02:07:28,Universal Studios Florida,TRANSFORMERS™: The Ride-3D,0,False
2026-03-18 02:07:28,Universal Studios Florida,Fast & Furious - Supercharged™,0,False
2026-03-18 02:07:28,Universal Studios Florida,Fast & Furious - Supercharged™ Single Rider,0,True
2026-03-18 02:07:28,Universal Studios Florida,Harry Potter and the Escape from Gringotts™,0,False
2026-03-18 02:07:28,Universal Studios Florida,Harry Potter and the Escape from Gringotts™ Single Rider,0,True
2026-03-18 02:07:28,Universal Studios Florida,Hogwarts™ Express - First Train,0,False
2026-03-18 02:07:28,Universal Studios Florida,Hogwarts™ Express - King's Cross Station,0,False
2026-03-18 02:07:28,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
2026-03-18 02:07:28,Universal Studios Florida,Kang & Kodos' Twirl 'n' Hurl,0,False
2026-03-18 02:07:28,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™,0,False
2026-03-18 02:07:28,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™ Single Rider,0,True
2026-03-18 02:07:28,Universal Studios Florida,The Simpsons Ride™,0,False
2026-03-18 02:07:28,Universal Studios Florida,Dolls: Let’s Play Dead,0,False
2026-03-18 02:07:28,Universal Studios Florida,El Artista: A Spanish Haunting,0,False
2026-03-18 02:07:28,Universal Studios Florida,Fallout,0,False
2026-03-18 02:07:28,Universal Studios Florida,Five Nights At Freddy’s,0,False
2026-03-18 02:07:28,Universal Studios Florida,Gálkn: Monsters of the North,0,False
2026-03-18 02:07:28,Universal Studios Florida,Grave of Flesh,0,False
2026-03-18 02:07:28,Universal Studios Florida,Hatchet and Chains: Demon Bounty Hunters,0,False
2026-03-18 02:07:28,Universal Studios Florida,JASON UN1V3RSE,0,False
2026-03-18 02:07:28,Universal Studios Florida,Terrifier,0,False
2026-03-18 02:07:28,Universal Studios Florida,WWE Presents: The Horrors of the Wyatt Sicks,0,False
2026-03-18 02:07:28,Epic Universe,Constellation Carousel,0,False
2026-03-18 02:07:28,Epic Universe,Stardust Racers,0,False
2026-03-18 02:07:28,Epic Universe,Curse of the Werewolf,0,False
2026-03-18 02:07:28,Epic Universe,Curse of the Werewolf Single Rider,0,True
2026-03-18 02:07:28,Epic Universe,Monsters Unchained: The Frankenstein Experiment,0,False
2026-03-18 02:07:28,Epic Universe,Monsters Unchained: The Frankenstein Experiment Single Rider,0,True
2026-03-18 02:07:28,Epic Universe,Dragon Racer's Rally,0,False
2026-03-18 02:07:28,Epic Universe,Fyre Drill,0,False
2026-03-18 02:07:28,Epic Universe,Hiccup Wing Glider,0,False
2026-03-18 02:07:28,Epic Universe,Meet Toothless and Friends,35,True
2026-03-18 02:07:28,Epic Universe,Bowser Jr. Challenge,0,False
2026-03-18 02:07:28,Epic Universe,Mario Kart™: Bowser's Challenge,0,False
2026-03-18 02:07:28,Epic Universe,Mario Kart™: Bowser's Challenge Single Rider,0,True
2026-03-18 02:07:28,Epic Universe,Mine-Cart Madness™,0,False
2026-03-18 02:07:28,Epic Universe,Mine-Cart Madness™ Single Rider,0,True
2026-03-18 02:07:28,Epic Universe,Yoshi's Adventure™,0,False
2026-03-18 02:07:28,Epic Universe,Harry Potter and the Battle at the Ministry™,0,False
2026-03-18 02:07:28,Epic Universe,Harry Potter and the Battle at the Ministry™ Single Rider,0,True
2026-03-18 04:32:06,Islands of Adventure,Camp Jurassic™,0,False
2026-03-18 04:32:06,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-03-18 04:32:06,Islands of Adventure,Jurassic Park River Adventure™,0,False
2026-03-18 04:32:06,Islands of Adventure,Jurassic World VelociCoaster,0,False
2026-03-18 04:32:06,Islands of Adventure,Pteranodon Flyers™,0,False
2026-03-18 04:32:06,Islands of Adventure,Skull Island: Reign of Kong™,0,False
2026-03-18 04:32:06,Islands of Adventure,Doctor Doom's Fearfall®,0,False
2026-03-18 04:32:06,Islands of Adventure,Storm Force Accelatron®,0,False
2026-03-18 04:32:06,Islands of Adventure,The Amazing Adventures of Spider-Man®,0,False
2026-03-18 04:32:06,Islands of Adventure,The Amazing Adventures of Spider-Man® Single Rider,0,True
2026-03-18 04:32:06,Islands of Adventure,The Incredible Hulk Coaster®,0,False
2026-03-18 04:32:06,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-03-18 04:32:06,Islands of Adventure,Caro-Seuss-el™,0,False
2026-03-18 04:32:06,Islands of Adventure,If I Ran The Zoo™,0,False
2026-03-18 04:32:06,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",0,False
2026-03-18 04:32:06,Islands of Adventure,The Cat in The Hat™,0,False
2026-03-18 04:32:06,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,0,False
2026-03-18 04:32:06,Islands of Adventure,Flight of the Hippogriff™,0,False
2026-03-18 04:32:06,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,0,False
2026-03-18 04:32:06,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™ Single Rider,0,True
2026-03-18 04:32:06,Islands of Adventure,Harry Potter and the Forbidden Journey™,0,False
2026-03-18 04:32:06,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-03-18 04:32:06,Islands of Adventure,Hogwarts™ Express - Hogsmeade™ Station,0,False
2026-03-18 04:32:06,Islands of Adventure,Ollivanders™ Experience in Hogsmeade™,15,True
2026-03-18 04:32:06,Islands of Adventure,Dudley Do-Right's Ripsaw Falls®,0,False
2026-03-18 04:32:06,Islands of Adventure,Popeye & Bluto's Bilge-Rat Barges®,0,False
2026-03-18 04:32:06,Universal Studios Florida,Trolls Trollercoaster,0,False
2026-03-18 04:32:06,Universal Studios Florida,E.T. Adventure™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Despicable Me Minion Mayhem™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Illumination Theater,0,False
2026-03-18 04:32:06,Universal Studios Florida,Illumination's Villain-Con Minion Blast,0,False
2026-03-18 04:32:06,Universal Studios Florida,Race Through New York Starring Jimmy Fallon™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Revenge of the Mummy™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Revenge of the Mummy™ Single Rider,0,True
2026-03-18 04:32:06,Universal Studios Florida,Hollywood Rip Ride Rockit™,0,False
2026-03-18 04:32:06,Universal Studios Florida,TRANSFORMERS™: The Ride-3D,0,False
2026-03-18 04:32:06,Universal Studios Florida,Fast & Furious - Supercharged™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Fast & Furious - Supercharged™ Single Rider,0,True
2026-03-18 04:32:06,Universal Studios Florida,Harry Potter and the Escape from Gringotts™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Harry Potter and the Escape from Gringotts™ Single Rider,0,True
2026-03-18 04:32:06,Universal Studios Florida,Hogwarts™ Express - First Train,0,False
2026-03-18 04:32:06,Universal Studios Florida,Hogwarts™ Express - King's Cross Station,0,False
2026-03-18 04:32:06,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
2026-03-18 04:32:06,Universal Studios Florida,Kang & Kodos' Twirl 'n' Hurl,0,False
2026-03-18 04:32:06,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™,0,False
2026-03-18 04:32:06,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™ Single Rider,0,True
2026-03-18 04:32:06,Universal Studios Florida,The Simpsons Ride™,0,False
2026-03-18 04:32:06,Universal Studios Florida,Dolls: Let’s Play Dead,0,False
2026-03-18 04:32:06,Universal Studios Florida,El Artista: A Spanish Haunting,0,False
2026-03-18 04:32:06,Universal Studios Florida,Fallout,0,False
2026-03-18 04:32:06,Universal Studios Florida,Five Nights At Freddy’s,0,False
2026-03-18 04:32:06,Universal Studios Florida,Gálkn: Monsters of the North,0,False
2026-03-18 04:32:06,Universal Studios Florida,Grave of Flesh,0,False
2026-03-18 04:32:06,Universal Studios Florida,Hatchet and Chains: Demon Bounty Hunters,0,False
2026-03-18 04:32:06,Universal Studios Florida,JASON UN1V3RSE,0,False
2026-03-18 04:32:06,Universal Studios Florida,Terrifier,0,False
2026-03-18 04:32:06,Universal Studios Florida,WWE Presents: The Horrors of the Wyatt Sicks,0,False
2026-03-18 04:32:06,Epic Universe,Constellation Carousel,0,False
2026-03-18 04:32:06,Epic Universe,Stardust Racers,0,False
2026-03-18 04:32:06,Epic Universe,Curse of the Werewolf,0,False
2026-03-18 04:32:06,Epic Universe,Curse of the Werewolf Single Rider,0,True
2026-03-18 04:32:06,Epic Universe,Monsters Unchained: The Frankenstein Experiment,0,False
2026-03-18 04:32:06,Epic Universe,Monsters Unchained: The Frankenstein Experiment Single Rider,0,True
2026-03-18 04:32:06,Epic Universe,Dragon Racer's Rally,0,False
2026-03-18 04:32:06,Epic Universe,Fyre Drill,0,False
2026-03-18 04:32:06,Epic Universe,Hiccup Wing Glider,0,False
2026-03-18 04:32:06,Epic Universe,Meet Toothless and Friends,35,True
2026-03-18 04:32:06,Epic Universe,Bowser Jr. Challenge,0,False
2026-03-18 04:32:06,Epic Universe,Mario Kart™: Bowser's Challenge,0,False
2026-03-18 04:32:06,Epic Universe,Mario Kart™: Bowser's Challenge Single Rider,0,True
2026-03-18 04:32:06,Epic Universe,Mine-Cart Madness™,0,False
2026-03-18 04:32:06,Epic Universe,Mine-Cart Madness™ Single Rider,0,True
2026-03-18 04:32:06,Epic Universe,Yoshi's Adventure™,0,False
2026-03-18 04:32:06,Epic Universe,Harry Potter and the Battle at the Ministry™,0,False
2026-03-18 04:32:06,Epic Universe,Harry Potter and the Battle at the Ministry™ Single Rider,0,True
2026-03-18 13:41:46,Islands of Adventure,Camp Jurassic™,0,False
2026-03-18 13:41:46,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-03-18 13:41:46,Islands of Adventure,Jurassic Park River Adventure™,0,False
2026-03-18 13:41:46,Islands of Adventure,Jurassic World VelociCoaster,110,True
2026-03-18 13:41:46,Islands of Adventure,Pteranodon Flyers™,0,False
2026-03-18 13:41:46,Islands of Adventure,Skull Island: Reign of Kong™,5,True
2026-03-18 13:41:46,Islands of Adventure,Doctor Doom's Fearfall®,10,True
2026-03-18 13:41:46,Islands of Adventure,Storm Force Accelatron®,5,True
2026-03-18 13:41:46,Islands of Adventure,The Amazing Adventures of Spider-Man®,20,True
2026-03-18 13:41:46,Islands of Adventure,The Amazing Adventures of Spider-Man® Single Rider,0,True
2026-03-18 13:41:46,Islands of Adventure,The Incredible Hulk Coaster®,45,True
2026-03-18 13:41:46,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-03-18 13:41:46,Islands of Adventure,Caro-Seuss-el™,5,True
2026-03-18 13:41:46,Islands of Adventure,If I Ran The Zoo™,0,False
2026-03-18 13:41:46,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",10,True
2026-03-18 13:41:46,Islands of Adventure,The Cat in The Hat™,5,True
2026-03-18 13:41:46,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,20,True
2026-03-18 13:41:46,Islands of Adventure,Flight of the Hippogriff™,45,True
2026-03-18 13:41:46,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,240,True
2026-03-18 13:41:46,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™ Single Rider,0,True
2026-03-18 13:41:46,Islands of Adventure,Harry Potter and the Forbidden Journey™,35,True
2026-03-18 13:41:46,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-03-18 13:41:46,Islands of Adventure,Hogwarts™ Express - Hogsmeade™ Station,0,False
2026-03-18 13:41:46,Islands of Adventure,Ollivanders™ Experience in Hogsmeade™,45,True
2026-03-18 13:41:46,Islands of Adventure,Dudley Do-Right's Ripsaw Falls®,5,True
2026-03-18 13:41:46,Islands of Adventure,Popeye & Bluto's Bilge-Rat Barges®,0,False
2026-03-18 13:41:46,Universal Studios Florida,Trolls Trollercoaster,0,False
2026-03-18 13:41:46,Universal Studios Florida,E.T. Adventure™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Despicable Me Minion Mayhem™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Illumination Theater,0,False
2026-03-18 13:41:46,Universal Studios Florida,Illumination's Villain-Con Minion Blast,0,False
2026-03-18 13:41:46,Universal Studios Florida,Race Through New York Starring Jimmy Fallon™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Revenge of the Mummy™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Revenge of the Mummy™ Single Rider,0,True
2026-03-18 13:41:46,Universal Studios Florida,Hollywood Rip Ride Rockit™,0,False
2026-03-18 13:41:46,Universal Studios Florida,TRANSFORMERS™: The Ride-3D,0,False
2026-03-18 13:41:46,Universal Studios Florida,Fast & Furious - Supercharged™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Fast & Furious - Supercharged™ Single Rider,0,True
2026-03-18 13:41:46,Universal Studios Florida,Harry Potter and the Escape from Gringotts™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Harry Potter and the Escape from Gringotts™ Single Rider,0,True
2026-03-18 13:41:46,Universal Studios Florida,Hogwarts™ Express - First Train,0,False
2026-03-18 13:41:46,Universal Studios Florida,Hogwarts™ Express - King's Cross Station,0,False
2026-03-18 13:41:46,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
2026-03-18 13:41:46,Universal Studios Florida,Kang & Kodos' Twirl 'n' Hurl,0,False
2026-03-18 13:41:46,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™,0,False
2026-03-18 13:41:46,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™ Single Rider,0,True
2026-03-18 13:41:46,Universal Studios Florida,The Simpsons Ride™,0,False
2026-03-18 13:41:46,Universal Studios Florida,Dolls: Let’s Play Dead,0,False
2026-03-18 13:41:46,Universal Studios Florida,El Artista: A Spanish Haunting,0,False
2026-03-18 13:41:46,Universal Studios Florida,Fallout,0,False
2026-03-18 13:41:46,Universal Studios Florida,Five Nights At Freddy’s,0,False
2026-03-18 13:41:46,Universal Studios Florida,Gálkn: Monsters of the North,0,False
2026-03-18 13:41:46,Universal Studios Florida,Grave of Flesh,0,False
2026-03-18 13:41:46,Universal Studios Florida,Hatchet and Chains: Demon Bounty Hunters,0,False
2026-03-18 13:41:46,Universal Studios Florida,JASON UN1V3RSE,0,False
2026-03-18 13:41:46,Universal Studios Florida,Terrifier,0,False
2026-03-18 13:41:46,Universal Studios Florida,WWE Presents: The Horrors of the Wyatt Sicks,0,False
2026-03-18 13:41:46,Epic Universe,Constellation Carousel,5,True
2026-03-18 13:41:46,Epic Universe,Stardust Racers,0,False
2026-03-18 13:41:46,Epic Universe,Curse of the Werewolf,45,True
2026-03-18 13:41:46,Epic Universe,Curse of the Werewolf Single Rider,0,True
2026-03-18 13:41:46,Epic Universe,Monsters Unchained: The Frankenstein Experiment,10,True
2026-03-18 13:41:46,Epic Universe,Monsters Unchained: The Frankenstein Experiment Single Rider,0,True
2026-03-18 13:41:46,Epic Universe,Dragon Racer's Rally,40,True
2026-03-18 13:41:46,Epic Universe,Fyre Drill,5,True
2026-03-18 13:41:46,Epic Universe,Hiccup Wing Glider,35,True
2026-03-18 13:41:46,Epic Universe,Meet Toothless and Friends,130,True
2026-03-18 13:41:46,Epic Universe,Bowser Jr. Challenge,5,True
2026-03-18 13:41:46,Epic Universe,Mario Kart™: Bowser's Challenge,90,True
2026-03-18 13:41:46,Epic Universe,Mario Kart™: Bowser's Challenge Single Rider,0,True
2026-03-18 13:41:46,Epic Universe,Mine-Cart Madness™,135,True
2026-03-18 13:41:46,Epic Universe,Mine-Cart Madness™ Single Rider,0,True
2026-03-18 13:41:46,Epic Universe,Yoshi's Adventure™,35,True
2026-03-18 13:41:46,Epic Universe,Harry Potter and the Battle at the Ministry™,135,True
2026-03-18 13:41:46,Epic Universe,Harry Potter and the Battle at the Ministry™ Single Rider,0,True
2026-03-18 15:12:43,Islands of Adventure,Camp Jurassic™,0,False
2026-03-18 15:12:43,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-03-18 15:12:43,Islands of Adventure,Jurassic Park River Adventure™,0,False
2026-03-18 15:12:43,Islands of Adventure,Jurassic World VelociCoaster,155,True
2026-03-18 15:12:43,Islands of Adventure,Pteranodon Flyers™,0,False
2026-03-18 15:12:43,Islands of Adventure,Skull Island: Reign of Kong™,60,True
2026-03-18 15:12:43,Islands of Adventure,Doctor Doom's Fearfall®,60,True
2026-03-18 15:12:43,Islands of Adventure,Storm Force Accelatron®,15,True
2026-03-18 15:12:43,Islands of Adventure,The Amazing Adventures of Spider-Man®,65,True
2026-03-18 15:12:43,Islands of Adventure,The Amazing Adventures of Spider-Man® Single Rider,0,True
2026-03-18 15:12:43,Islands of Adventure,The Incredible Hulk Coaster®,80,True
2026-03-18 15:12:43,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-03-18 15:12:43,Islands of Adventure,Caro-Seuss-el™,25,True
2026-03-18 15:12:43,Islands of Adventure,If I Ran The Zoo™,0,False
2026-03-18 15:12:43,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",40,True
2026-03-18 15:12:43,Islands of Adventure,The Cat in The Hat™,45,True
2026-03-18 15:12:43,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,25,True
2026-03-18 15:12:43,Islands of Adventure,Flight of the Hippogriff™,50,True
2026-03-18 15:12:43,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,150,True
2026-03-18 15:12:43,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™ Single Rider,0,True
2026-03-18 15:12:43,Islands of Adventure,Harry Potter and the Forbidden Journey™,60,True
2026-03-18 15:12:43,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-03-18 15:12:43,Islands of Adventure,Hogwarts™ Express - Hogsmeade™ Station,35,True
2026-03-18 15:12:43,Islands of Adventure,Ollivanders™ Experience in Hogsmeade™,35,True
2026-03-18 15:12:43,Islands of Adventure,Dudley Do-Right's Ripsaw Falls®,5,True
2026-03-18 15:12:43,Islands of Adventure,Popeye & Bluto's Bilge-Rat Barges®,5,True
2026-03-18 15:12:43,Universal Studios Florida,Trolls Trollercoaster,5,True
2026-03-18 15:12:43,Universal Studios Florida,E.T. Adventure™,10,True
2026-03-18 15:12:43,Universal Studios Florida,Despicable Me Minion Mayhem™,70,True
2026-03-18 15:12:43,Universal Studios Florida,Illumination Theater,0,False
2026-03-18 15:12:43,Universal Studios Florida,Illumination's Villain-Con Minion Blast,25,True
2026-03-18 15:12:43,Universal Studios Florida,Race Through New York Starring Jimmy Fallon™,20,True
2026-03-18 15:12:43,Universal Studios Florida,Revenge of the Mummy™,45,True
2026-03-18 15:12:43,Universal Studios Florida,Revenge of the Mummy™ Single Rider,0,True
2026-03-18 15:12:43,Universal Studios Florida,Hollywood Rip Ride Rockit™,0,False
2026-03-18 15:12:43,Universal Studios Florida,TRANSFORMERS™: The Ride-3D,45,True
2026-03-18 15:12:43,Universal Studios Florida,Fast & Furious - Supercharged™,15,True
2026-03-18 15:12:43,Universal Studios Florida,Fast & Furious - Supercharged™ Single Rider,0,True
2026-03-18 15:12:43,Universal Studios Florida,Harry Potter and the Escape from Gringotts™,55,True
2026-03-18 15:12:43,Universal Studios Florida,Harry Potter and the Escape from Gringotts™ Single Rider,0,True
2026-03-18 15:12:43,Universal Studios Florida,Hogwarts™ Express - First Train,0,False
2026-03-18 15:12:43,Universal Studios Florida,Hogwarts™ Express - King's Cross Station,10,True
2026-03-18 15:12:43,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
2026-03-18 15:12:43,Universal Studios Florida,Kang & Kodos' Twirl 'n' Hurl,5,True
2026-03-18 15:12:43,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™,10,True
2026-03-18 15:12:43,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™ Single Rider,0,True
2026-03-18 15:12:43,Universal Studios Florida,The Simpsons Ride™,10,True
2026-03-18 15:12:43,Universal Studios Florida,Dolls: Let’s Play Dead,0,False
2026-03-18 15:12:43,Universal Studios Florida,El Artista: A Spanish Haunting,0,False
2026-03-18 15:12:43,Universal Studios Florida,Fallout,0,False
2026-03-18 15:12:43,Universal Studios Florida,Five Nights At Freddy’s,0,False
2026-03-18 15:12:43,Universal Studios Florida,Gálkn: Monsters of the North,0,False
2026-03-18 15:12:43,Universal Studios Florida,Grave of Flesh,0,False
2026-03-18 15:12:43,Universal Studios Florida,Hatchet and Chains: Demon Bounty Hunters,0,False
2026-03-18 15:12:43,Universal Studios Florida,JASON UN1V3RSE,0,False
2026-03-18 15:12:43,Universal Studios Florida,Terrifier,0,False
2026-03-18 15:12:43,Universal Studios Florida,WWE Presents: The Horrors of the Wyatt Sicks,0,False
2026-03-18 15:12:43,Epic Universe,Constellation Carousel,25,True
2026-03-18 15:12:43,Epic Universe,Stardust Racers,0,False
2026-03-18 15:12:43,Epic Universe,Curse of the Werewolf,60,True
2026-03-18 15:12:43,Epic Universe,Curse of the Werewolf Single Rider,0,True
2026-03-18 15:12:43,Epic Universe,Monsters Unchained: The Frankenstein Experiment,25,True
2026-03-18 15:12:43,Epic Universe,Monsters Unchained: The Frankenstein Experiment Single Rider,0,True
2026-03-18 15:12:43,Epic Universe,Dragon Racer's Rally,45,True
2026-03-18 15:12:43,Epic Universe,Fyre Drill,5,True
2026-03-18 15:12:43,Epic Universe,Hiccup Wing Glider,50,True
2026-03-18 15:12:43,Epic Universe,Meet Toothless and Friends,100,True
2026-03-18 15:12:43,Epic Universe,Bowser Jr. Challenge,30,True
2026-03-18 15:12:43,Epic Universe,Mario Kart™: Bowser's Challenge,145,True
2026-03-18 15:12:43,Epic Universe,Mario Kart™: Bowser's Challenge Single Rider,0,True
2026-03-18 15:12:43,Epic Universe,Mine-Cart Madness™,180,True
2026-03-18 15:12:43,Epic Universe,Mine-Cart Madness™ Single Rider,0,True
2026-03-18 15:12:43,Epic Universe,Yoshi's Adventure™,60,True
2026-03-18 15:12:43,Epic Universe,Harry Potter and the Battle at the Ministry™,110,True
2026-03-18 15:12:43,Epic Universe,Harry Potter and the Battle at the Ministry™ Single Rider,0,True
2026-03-18 16:34:09,Islands of Adventure,Camp Jurassic™,0,False
2026-03-18 16:34:09,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-03-18 16:34:09,Islands of Adventure,Jurassic Park River Adventure™,0,False
2026-03-18 16:34:09,Islands of Adventure,Jurassic World VelociCoaster,0,False
2026-03-18 16:34:09,Islands of Adventure,Pteranodon Flyers™,0,False
2026-03-18 16:34:09,Islands of Adventure,Skull Island: Reign of Kong™,0,False
2026-03-18 16:34:09,Islands of Adventure,Doctor Doom's Fearfall®,45,True
2026-03-18 16:34:09,Islands of Adventure,Storm Force Accelatron®,20,True
2026-03-18 16:34:09,Islands of Adventure,The Amazing Adventures of Spider-Man®,75,True
2026-03-18 16:34:09,Islands of Adventure,The Amazing Adventures of Spider-Man® Single Rider,0,True
2026-03-18 16:34:09,Islands of Adventure,The Incredible Hulk Coaster®,100,True
2026-03-18 16:34:09,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-03-18 16:34:09,Islands of Adventure,Caro-Seuss-el™,15,True
2026-03-18 16:34:09,Islands of Adventure,If I Ran The Zoo™,0,False
2026-03-18 16:34:09,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",55,True
2026-03-18 16:34:09,Islands of Adventure,The Cat in The Hat™,10,True
2026-03-18 16:34:09,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,45,True
2026-03-18 16:34:09,Islands of Adventure,Flight of the Hippogriff™,85,True
2026-03-18 16:34:09,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,160,True
2026-03-18 16:34:09,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™ Single Rider,0,True
2026-03-18 16:34:09,Islands of Adventure,Harry Potter and the Forbidden Journey™,90,True
2026-03-18 16:34:09,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-03-18 16:34:09,Islands of Adventure,Hogwarts™ Express - Hogsmeade™ Station,75,True
2026-03-18 16:34:09,Islands of Adventure,Ollivanders™ Experience in Hogsmeade™,40,True
2026-03-18 16:34:09,Islands of Adventure,Dudley Do-Right's Ripsaw Falls®,15,True
2026-03-18 16:34:09,Islands of Adventure,Popeye & Bluto's Bilge-Rat Barges®,5,True
2026-03-18 16:34:09,Universal Studios Florida,Trolls Trollercoaster,40,True
2026-03-18 16:34:09,Universal Studios Florida,E.T. Adventure™,0,False
